,org_mode,dst_mode,bike_distance,bike_duration,bike_cost,taxi_cost,taxi_distance,taxis_duration,origin_1,destination_1
256,metro,metro,11299,45.2,2,32,11620,29.46666667,Weigongcun_m,Xuanwumen_m
257,metro,metro,20164,80.65,3,63,21515,35.65,Weigongcun_m,Liujiayao_m
258,metro,metro,15157,60.63333333,3,43,15773,29.83333333,Weigongcun_m,Fengtaidongdajie_m
259,metro,metro,17496,69.98333333,3,52,18337,34.38333333,Weigongcun_m,Dawayao_m
260,metro,metro,5703,22.81666667,1,21,6628,17.9,Weigongcun_m,Huayuanqiao_m
261,metro,metro,9179,36.71666667,2,28,9919,22.9,Weigongcun_m,Beishatan_m
262,metro,metro,16855,67.41666667,3,47,17036,39.98333333,Weigongcun_m,Guomao_m
263,metro,metro,1937,7.75,1,13,2777,9.633333333,Weigongcun_m,Renmindaxue_m
264,metro,metro,15916,63.66666667,3,49,17615,33.6,Weigongcun_m,Ciqikou_m
265,metro,metro,6564,26.25,1,25,8510,22.1,Weigongcun_m,Haidianwuluju_m
266,metro,metro,31983,127.9333333,5,101,32784,62.33333333,Weigongcun_m,Yihezhuang_m
267,metro,metro,20698,82.78333333,3,66,22610,38.83333333,Weigongcun_m,Xingong_m
268,metro,metro,35814,143.25,5,134,42303,61.03333333,Weigongcun_m,Changpingdongguan_m
269,metro,metro,10158,40.63333333,2,32,11552,28.33333333,Weigongcun_m,Anheqiaobei_m
270,metro,metro,7256,29.01666667,1,22,7054,19.38333333,Weigongcun_m,Fuchengmen_m
271,metro,metro,9958,39.83333333,2,28,9624,19.45,Weigongcun_m,Beitucheng_m
272,metro,metro,15532,62.13333333,3,54,18912,31.61666667,Weigongcun_m,Taoranqiao_m
273,metro,metro,19935,79.73333333,3,69,23375,41.71666667,Weigongcun_m,Guogongzhuang_m
274,metro,metro,11210,44.83333333,2,34,12497,28.78333333,Weigongcun_m,Beijingxizhan_m
275,metro,metro,17584,70.33333333,3,49,17561,31.96666667,Weigongcun_m,Majiabao_m
276,metro,metro,19627,78.5,3,55,19289,49.63333333,Weigongcun_m,Tiantongyuannan_m
277,metro,metro,38439,153.75,6,123,39134,78.35,Weigongcun_m,Linheli_m
278,metro,metro,22468,89.86666667,3,73,24419,38.83333333,Weigongcun_m,Zhangguozhuang_m
279,metro,metro,17369,69.48333333,3,55,19409,31.4,Weigongcun_m,Yongdingmenwai_m
280,metro,metro,23403,93.61666667,4,71,23930,56.16666667,Weigongcun_m,Huagong_m
